"REF","S.DATE","E.DATE","lat","lon"
"pv35b-06-11","07/09/2017 14:29","08/09/2017 08:23",58.86646949,9.574168288
"pv35b-06-11","08/09/2017 08:26","08/09/2017 09:49",58.86643543,9.574143255
"pv35b-06-11","08/09/2017 09:51","08/09/2017 14:54",58.866424,9.574134853
"pv35b-06-11","10/09/2017 17:34","11/09/2017 06:16",58.86621472,9.573981031
"pv35b-06-11","13/09/2017 05:10","13/09/2017 16:52",58.86600876,9.573829651
"pv35b-06-11","15/09/2017 15:58","16/09/2017 15:52",58.86708069,9.57215023
"pv35b-08-11","25/08/2017 21:49","26/08/2017 08:46",58.86639023,9.568250179
"pv35b-08-11","30/08/2017 11:34","31/08/2017 03:16",58.85422421,9.320477486
"pv35b-09-11","25/08/2017 21:45","26/08/2017 06:42",58.8592275,9.432229678
"pv35b-10-11","28/08/2017 21:25","28/08/2017 23:53",58.86559773,9.526172675
"pv35b-10-11","29/08/2017 10:12","30/08/2017 02:06",58.86362839,9.526474953
"pv35b-10-11","30/08/2017 14:45","30/08/2017 18:40",58.86346436,9.526609898
"pv35b-10-11","30/08/2017 19:16","31/08/2017 19:10",58.86351437,9.526363373
"pv35b-10-11","31/08/2017 19:11","31/08/2017 20:41",58.86352158,9.52628994
